measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,1,Number,1990,137871.437,164501.3273,105980.8531
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,2,Percent,1990,0.000121488,0.000144793,9.35E-05
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,3,Rate,1990,11.64767557,13.89742599,8.953490444
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,1,Number,1991,145300.5759,167904.6244,114196.4564
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,2,Percent,1991,0.000126634,0.000146327,9.96E-05
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,3,Rate,1991,12.12323648,14.00921817,9.528046518
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,1,Number,1992,153471.5944,175366.6016,122509.337
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,2,Percent,1992,0.000132394,0.000151431,0.000105439
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,3,Rate,1992,12.65679239,14.46247221,10.10333705
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,1,Number,1993,163030.6946,186907.3685,132491.6249
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,2,Percent,1993,0.000139294,0.000159404,0.000113256
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,3,Rate,1993,13.30009394,15.24796031,10.80870729
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,1,Number,1994,173505.1401,200915.1241,139657.3655
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,2,Percent,1994,0.000146887,0.000169601,0.00011819
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,3,Rate,1994,14.01211308,16.2257178,11.27859842
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,1,Number,1995,185292.9344,217059.1813,146950.6523
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,2,Percent,1995,0.000155463,0.000182368,0.000123774
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,3,Rate,1995,14.82320953,17.36447067,11.75587356
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,1,Number,1996,199301.0663,229971.2063,160535.6098
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,2,Percent,1996,0.000165747,0.000191354,0.000133803
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,3,Rate,1996,15.80298174,18.23487873,12.72919086
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,1,Number,1997,215436.3776,247885.1757,176781.9506
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,2,Percent,1997,0.000177637,0.000204608,0.000145506
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,3,Rate,1997,16.93974161,19.49118748,13.90034773
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,1,Number,1998,233624.5266,268631.1701,190395.4084
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,2,Percent,1998,0.000191048,0.000219688,0.00015591
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,3,Rate,1998,18.22465432,20.95546338,14.8524239
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,1,Number,1999,253855.2558,293844.4304,206786.01
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,2,Percent,1999,0.000205969,0.000238073,0.000167481
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,3,Rate,1999,19.6557919,22.75211894,16.0112611
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,1,Number,2000,275294.38,320635.3506,224331.2629
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,2,Percent,2000,0.00022175,0.000257978,0.000180382
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,3,Rate,2000,21.16906879,24.65561336,17.25020299
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,1,Number,2001,299271.4156,348482.1459,248219.2582
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,2,Percent,2001,0.000239583,0.000279797,0.000198566
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,3,Rate,2001,22.86673986,26.62683491,18.96594499
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,1,Number,2002,326411.4827,382075.8577,271799.9384
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,2,Percent,2002,0.00026001,0.000304257,0.000216088
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,3,Rate,2002,24.79506904,29.0234804,20.64663345
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,1,Number,2003,356810.3324,422283.5428,299888.2016
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,2,Percent,2003,0.000283008,0.000334938,0.000237239
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,3,Rate,2003,26.95965894,31.90664411,22.65877106
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,1,Number,2004,389856.8512,465692.9315,327444.0303
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,2,Percent,2004,0.000307954,0.00036729,0.000259112
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,3,Rate,2004,29.31301437,35.01506657,24.62024596
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,1,Number,2005,421910.6742,512470.5375,358501.4123
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,2,Percent,2005,0.000331776,0.000403094,0.000281299
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,3,Rate,2005,31.57944984,38.35773452,26.83335137
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,1,Number,2006,458380.0133,555618.3119,396294.9861
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,2,Percent,2006,0.000358727,0.000434253,0.000309378
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,3,Rate,2006,34.15818988,41.40432664,29.53165275
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,1,Number,2007,502437.6111,616992.0408,442299.8268
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,2,Percent,2007,0.000391392,0.000479959,0.000343857
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,3,Rate,2007,37.27780206,45.77704109,32.81594576
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,1,Number,2008,550163.4748,686923.5044,485445.1908
5,Prevalence,6,China,3,Both,22,All ages,438,Prostate cancer,2,Percent,2008,0.000426653,0.000533192,0.000376825
